Site,year,month,Tmax,Tmin,AFdays,Precip
Tiree,2014,7,17.7,12.2,0,118.2
Tiree,2014,8,16,11,0,100.6
Tiree,2014,9,16.1,10.9,0,27
Tiree,2014,10,13.3,8.1,0,250.4
Tiree,2014,11,11.4,7.1,0,128.4
Tiree,2014,12,8.7,3.8,0,186.8
Tiree,2015,1,7.6,2.6,3,177.6
Tiree,2015,2,7.6,2.8,0,96.4
Tiree,2015,3,8.8,3.8,0,140.6
Tiree,2015,4,10.4,4.5,1,60.6
Tiree,2015,5,11.3,6.3,0,123.4
Tiree,2015,6,13.2,8.7,0,68.8
Tiree,2015,7,15.1,9.9,0,165.8
Tiree,2015,8,15.9,10.9,0,74.7
Tiree,2015,9,14.7,10.3,0,40.9
Tiree,2015,10,13.5,8.6,0,73.8
Tiree,2015,11,10.7,6.4,0,189.6
Tiree,2015,12,9.8,5.1,0,268.6
Tiree,2016,1,8,4,1,186.2
Tiree,2016,2,7.4,2.5,2,153.6
Tiree,2016,3,8.9,4.4,0,92.4
Tiree,2016,4,9.5,4,0,77.4
Tiree,2016,5,14.3,7.6,0,60.2
Tiree,2016,6,16,10.8,0,54.8
Tiree,2016,7,15.7,11,0,144.8
Tiree,2016,8,16.7,12.1,0,124.4
Tiree,2016,9,15.8,11.4,0,137.4
Tiree,2016,10,13.4,9,0,37.4
Tiree,2016,11,9.7,4.6,2,117
Tiree,2016,12,10.4,6.1,0,131.4
Tiree,2017,1,8.6,4.9,1,83.4
Tiree,2017,2,8.6,4.3,2,122.6
Tiree,2017,3,9.9,4.7,0,103.6
Tiree,2017,4,10.6,5.7,0,36.2
Tiree,2017,5,14.6,8,0,55.8
Tiree,2017,6,14.8,10.7,0,79.4
Tiree,2017,7,16.4,10.9,0,115.8
Tiree,2017,8,16.6,11.7,0,182
Tiree,2017,9,15,10.2,0,132.6
Tiree,2017,10,13.6,9.3,0,167
Tiree,2017,11,9.4,4.7,0,129.4
Tiree,2017,12,8.2,3.8,3,128
Tiree,2018,1,7.4,2.9,2,181.6
Tiree,2018,2,6.8,2.4,3,112
Tiree,2018,3,7.3,2,6,68.1
Tiree,2018,4,10.7,5,1,71.4
Tiree,2018,5,14.2,8.2,0,57.2
Tiree,2018,6,16.3,10.3,0,48.4
Tiree,2018,7,17,12,0,73.2
Tiree,2018,8,16,11.2,0,104.4
Tiree,2018,9,14.2,9.2,0,140
Tiree,2018,10,12.2,7.7,0,152.4
Tiree,2018,11,10.6,6.6,0,123.8
Tiree,2018,12,9.4,5.4,0,108.6
Tiree,2019,1,7.8,4.1,3,75.8
Tiree,2019,2,9.4,5,1,102.6
Tiree,2019,3,9.4,5,9,132.9
Tiree,2019,4,11.8,6.2,0,27.8
Tiree,2019,5,12.1,6.4,0,91.2
Tiree,2019,6,15.1,10,0,59.4
Tiree,2019,7,16.9,12.5,0,133.8
Tiree,2019,8,17.2,12.2,0,186.4
Tiree,2019,9,15.5,10.8,0,86
Tiree,2019,10,12.2,7.7,0,133.5
Tiree,2019,11,8.8,4.2,3,81.8
Tiree,2019,12,9.2,5,0,196.3
Tiree,2020,1,9,5,0,130.8
Tiree,2020,2,7.9,2.8,1,188.6
Tiree,2020,3,8.5,3.8,0,129.8
Tiree,2020,4,11.5,5.2,0,19
Tiree,2020,5,13.3,7.6,0,51.6
Tiree,2020,6,15.7,10.4,0,66.8
Tiree,2020,7,15.1,10.5,0,129.4
Tiree,2020,8,16.9,11.7,0,78.4
Tiree,2020,9,15.2,10.1,0,147.2
Tiree,2020,10,12.4,7.8,0,266.8
Tiree,2020,11,11.2,7.3,0,132.3
Tiree,2020,12,8.5,4.2,0,126.8
Tiree,2021,1,6.7,2,5,131.2
Tiree,2021,2,7.2,3.2,6,92
Tiree,2021,3,9.2,5,0,115.2
Tiree,2021,4,9.9,3.6,1,33.8
Tiree,2021,5,12,6,0,63.6
Tiree,2021,6,14.9,9.9,0,46.4
Tiree,2021,7,17.5,12.2,0,21
Tiree,2021,8,16.9,11.6,0,58.4
Tiree,2021,9,15.9,11.7,0,113.2
Tiree,2021,10,13.4,9.1,0,199.8
Tiree,2021,11,10.9,6.8,0,134.6
Tiree,2021,12,8.9,5,0,124
Tiree,2022,1,8.9,5.3,0,87.2
Tiree,2022,2,8.7,3.5,1,167.4
Tiree,2022,3,10,4.6,1,44.4
Tiree,2022,4,11.3,5.6,0,101.8
Tiree,2022,5,13.5,9.1,0,103.4
Tiree,2022,6,15.5,10.2,0,88.6
Tiree,2022,7,16.2,11.7,0,62.9
Tiree,2022,8,17.1,11.8,0,68.5
Tiree,2022,9,16.1,11.2,0,196.4
